,CCS,PrecIntensity,PrecMz,Precursor,RetTime,reps,Sample
456,178.505,66528.5,369.1786,Z1MZ369TIM4P1,4.5205,2.0,SW218968-1
457,174.535,161378.5,369.22455,Z1MZ369TIM4P2,4.882999999999999,2.0,SW218968-1
458,161.72500000000002,272337.5,443.13755000000003,Z1MZ443TIM2P1,2.7265,2.0,SW218968-1
459,164.515,23075.5,294.19095,Z1MZ294TIM4P1,4.77,2.0,SW218968-1
460,278.41499999999996,201566.0,225.45265,Z2MZ225TIM3P1,3.67,2.0,SW218968-1
461,124.29,48612.0,194.11860000000001,Z1MZ194TIM3P1,3.7615,2.0,SW218968-1
462,124.155,53479.0,194.1189,Z1MZ194TIM3P2,3.958,2.0,SW218968-1
463,124.305,41612.0,194.11825,Z1MZ194TIM3P3,3.5085000000000006,2.0,SW218968-1
464,124.57499999999999,139521.5,194.1184,Z1MZ194TIM3P4,3.255,2.0,SW218968-1
465,114.935,115421.5,213.88954999999999,Z1MZ213TIM6P1,6.428999999999999,2.0,SW218968-1
466,167.38,525138.5,327.14225,Z1MZ327TIM5P1,5.018,2.0,SW218968-1
467,171.365,912663.0,327.23524999999995,Z1MZ327TIM5P2,5.2985,2.0,SW218968-1
468,167.675,389181.0,327.14295000000004,Z1MZ327TIM5P3,5.324,2.0,SW218968-1
469,168.615,86771.5,327.14200000000005,Z1MZ327TIM5P4,5.529,2.0,SW218968-1
470,172.65,92132.0,327.238,Z1MZ327TIM5P5,5.656,2.0,SW218968-1
471,124.645,64776.5,251.03820000000002,Z1MZ251TIM3P1,3.3594999999999997,2.0,SW218968-1
472,124.925,77765.5,221.07565,Z1MZ221TIM3P1,3.3810000000000002,2.0,SW218968-1
473,134.83499999999998,184323.5,224.12885,Z1MZ224TIM3P1,3.2245,2.0,SW218968-1
474,175.43,80120.5,556.8633500000001,Z1MZ556TIM6P1,6.385,2.0,SW218968-1
475,190.08499999999998,431152.0,473.25115,Z1MZ473TIM6P1,6.3025,2.0,SW218968-1
476,124.345,22074.0,221.07475,Z1MZ221TIM5P1,5.761,2.0,SW218968-1
477,125.00999999999999,23539.0,221.07600000000002,Z1MZ221TIM5P2,5.6945,2.0,SW218968-1
478,151.315,19522.0,449.71875,Z1MZ449TIM0P1,0.7715000000000001,2.0,SW218968-1
479,113.695,37606.0,215.89004999999997,Z1MZ215TIM3P1,3.958,2.0,SW218968-1
480,114.6,256906.5,212.8823,Z1MZ212TIM6P1,6.63,2.0,SW218968-1
481,196.44,141688.0,525.2874,Z1MZ525TIM2P1,2.0275,2.0,SW218968-1
482,139.85500000000002,115976.5,259.09479999999996,Z1MZ259TIM3P1,3.5605,2.0,SW218968-1
483,143.24,38265.5,259.09479999999996,Z1MZ259TIM3P2,3.246,2.0,SW218968-1
484,186.515,344399.0,399.2508,Z1MZ399TIM4P1,4.904999999999999,2.0,SW218968-1
485,164.27,46693.0,445.0967,Z1MZ445TIM3P1,3.7525,2.0,SW218968-1
486,242.09,294964.5,573.2363499999999,Z1MZ573TIM4P1,4.224,2.0,SW218968-1
487,103.08500000000001,37580.0,154.0775,Z1MZ154TIM3P1,3.565,2.0,SW218968-1
